EqID,Equation,Framework,Domain,SourceDoc,SourceLine,Description,VerificationStatus,RelatedEqs,ExperimentalTest
OE011,"\begin{array}{l}{{\left\{\begin{array}{l l}{{\begin{array}{l l}{{\underline{{\infty}}}}\\ {\leq\,\overline{{\infty}}}}\\ {{\overline{{\exp}}}}\end{array}\right.}}\end{array}\frac{\underline{{\infty}}}{\underline{{\infty}}}}\\ {{\begin{array}{l}{{\in}}\\ {{\overline{{\Omega}}}}\\ {{\overline{{\Omega}}}}\end{array}}}\end{array}",OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 9, Image 1 (359x3300)",OCR extracted equation from image on Page 9,OCR_Pending,,OCR validation required
OE012,"\scriptstyle{\begin{array}{l}{\left|{\frac{x_{1}-x_{1}}{\left|}}\right|}\\ {\left|{\frac{}{x}},{\frac{x_{1}-x_{2}}{\exp x_{1}}}\right|}\\ {\left|{\begin{array}{l}{\left|{\frac{x_{1}-x_{2}}{x+1}}\right|}\\ {\left|{}_{i}^{x_{i}}\right|^{\frac{x_{i}-x_{2}}{\sqrt{x+1}}}\right|}}}\end{array}}",OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 10, Image 0 (1704x1973)",OCR extracted equation from image on Page 10,OCR_Pending,,OCR validation required
OE013,\begin{array}{r l}{\left\{\begin{array}{r l}{\Omega}&{{}{\frac{\cos\theta}{\Omega}}}\\ {\langle\alpha\rangle=a_{n}}&{{}{\frac{\cos\theta}{\Omega}}}\\ {\rangle}&{{}{\bar{\Omega}}}\end{array}\right.}}\\ {\quad\quad{\frac{\cos}{\Omega}}}\end{array},OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 10, Image 1 (359x3300)",OCR extracted equation from image on Page 10,OCR_Pending,,OCR validation required
OE014,"{\frac{\varphi}{c^{2}}}{\frac{\varphi_{\mathrm{{s}}}}{c^{2}}},",OCR,Math/OCR,094101_1_accepted_manuscript.pdf,"Page 11, Image 0 (2890x3725)",OCR extracted equation from image on Page 11,OCR_Pending,,OCR validation required
PE001,\begin{array}{c}{{r_{p}=\sqrt{\frac{G\hbar}{c}}}}\\ {{M_{p}=\sqrt{\frac{\hbar c}{G}}}}\end{array},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 2, Image 0 (868x1507)",OCR extracted equation from image on Page 2,OCR_Pending,,OCR validation required
PE002,\begin{array}{l}{{\frac{1}{\omega}}}\\ {{\frac{1}{\omega}}}\\ {{\frac{1}{\omega}}}\\ {{\frac{1}{\omega}}}\\ {{\frac{1}{\omega}}}\\ {{\frac{1}{\omega}}}\\ {{\mathbf{\hat{\mathbf{M}}}}}\end{array},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 3, Image 0 (1366x768)",OCR extracted equation from image on Page 3,OCR_Pending,,OCR validation required
PE003,\scriptstyle{\frac{\lambda{\dot{\lambda}}_{3}^{1/2}{\dot{\bar{\lambda}}}^{1/2}{\dot{\bar{\lambda}}}_{3}^{1}{\dot{\bar{\lambda}}}_{3}^{1/2}{\dot{\bar{\lambda}}}_{3}^{1}\dot{\bar{\lambda}}_{3}^{1}}{\lambda{\dot{\bar{\lambda}}}_{3}^{1/2}\dot{\bar{\lambda}}^{1/3}\dot{\lambda}_{3}}}}\\ {\sum_{\lambda{\bar{\beta}}{\bar{\beta}}{\bar{\beta}}{\tilde{\beta}}{\tilde{\beta}}_{0}^{1/2}}}\end{array},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 4, Image 0 (612x408)",OCR extracted equation from image on Page 4,OCR_Pending,,OCR validation required
PE004,\mathbf{\hat{e}}_{\hat{e}_{\hat{e}_{\ell\Delta{\boldsymbol{\Omega}}}}},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 4, Image 1 (1500x965)",OCR extracted equation from image on Page 4,OCR_Pending,,OCR validation required
PE005,\textstyle{\frac{1-1}{\ln(n+n)}},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 5, Image 0 (1366x768)",OCR extracted equation from image on Page 5,OCR_Pending,,OCR validation required
PE006,\textstyle{\frac{1-1}{n+n}},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 5, Image 1 (1366x768)",OCR extracted equation from image on Page 5,OCR_Pending,,OCR validation required
PE007,\Pi_{\mathrm{o}}=(\operatorname{Im}_{\mathrm{p}}\Pi_{\mathrm{e}})^{1/2},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 6, Image 0 (848x301)",OCR extracted equation from image on Page 6,OCR_Pending,,OCR validation required
PE008,{\cal P}_{o}\equiv\!\frac{e^{2}}{m_{o}c^{2}},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 6, Image 1 (870x457)",OCR extracted equation from image on Page 6,OCR_Pending,,OCR validation required
PE009,\left(\frac{m_{p}}{m_{e}}\right)^{1/2}=\ln\left(^{r}\!\mathcal{N}_{\!P}\right),Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 6, Image 2 (1335x598)",OCR extracted equation from image on Page 6,OCR_Pending,,OCR validation required
PE010,"G=\left(e^{2}{\mathcal{J}}_{m_{p}m_{e}}\right)\alpha\exp\left(-2\left({\frac{m_{p}}{m_{e}}}\right)^{1/2}\right)=6.668x10^{-8}\,d y n e-c m^{2}g m^{-2}",Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 7, Image 1 (2990x490)",OCR extracted equation from image on Page 7,OCR_Pending,,OCR validation required
PE011,"\mathsf{N e\;d e f i n e}\quad\left[\frac{m_{p}}{m_{e}}\right]^{1,2}=\emptyset",Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 7, Image 2 (1419x480)",OCR extracted equation from image on Page 7,OCR_Pending,,OCR validation required
PE012,{\frac{s^{2}}{u c^{2}}}-{\frac{g^{2}}{2\pi G}}=K,Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 8, Image 0 (2446x882)",OCR extracted equation from image on Page 8,OCR_Pending,,OCR validation required
PE013,\stackrel{\sim}{\operatorname{su}},Pais,Math/OCR,Comment on the Pais Superforce Theory.pdf,"Page 9, Image 1 (737x983)",OCR extracted equation from image on Page 9,OCR_Pending,,OCR validation required
OE015,\begin{array}{c c}{{\begin{array}{c}{{\infty}}\\ {{\infty}}&{{\displaystyle\exp\displaystyle\sum_{\mathrm{}}\!\!\!\!\overbrace{{\infty}}\!\!\!}}\\ {{\sim\!\!\!\sum_{\mathrm{}}\!\!\!\sum_{\mathrm{}}\!\!\!\!\sum_{\mathrm{}}\!\!\!\!\overbrace{{\sim}\!\!\!\sim\!\!\sim\!\!\sim\!\!\sim\!\!\tilde{{\mathfrak{s}}}}}\end{array}}}\end{array},OCR,Math/OCR,Phys-140A-lecture-14v3.pdf,"Page 3, Image 0 (482x338)",OCR extracted equation from image on Page 3,OCR_Pending,,OCR validation required
OE016,\begin{array}{l}{{\frac{\beta}{\epsilon}}}\\ {{\frac{\psi}{\epsilon}}}\\ {{\vdots}}\\ {{\vdots}}\\ {{\vdots}}\\ {{\vdots}}\\ {{\vdots}}\end{array},OCR,Math/OCR,Phys-140A-lecture-14v3.pdf,"Page 7, Image 0 (1207x525)",OCR extracted equation from image on Page 7,OCR_Pending,,OCR validation required
OE017,\begin{array}{c}{{\longrightarrow}}\\ {{\P\displaystyle\P}}\\ {{\downarrow}}\\ {{\downarrow}}\end{array},OCR,Math/OCR,scalar_tensor_gravity_arxiv.pdf,"Page 5, Image 0 (496x496)",OCR extracted equation from image on Page 5,OCR_Pending,,OCR validation required
OE018,\scriptstyle{\boldsymbol{x}}^{n}\;{\boldsymbol{x}}^{n},OCR,Math/OCR,scalar_tensor_gravity_arxiv.pdf,"Page 10, Image 0 (217x217)",OCR extracted equation from image on Page 10,OCR_Pending,,OCR validation required
OE019,\scriptstyle{\boldsymbol{x}}^{n},OCR,Math/OCR,scalar_tensor_gravity_arxiv.pdf,"Page 10, Image 2 (217x217)",OCR extracted equation from image on Page 10,OCR_Pending,,OCR validation required
